Name,Price_After,Price_Before,Discount,Rating,Sold_Count,Store_Location
Buavita Orange [1000 mL],Rp28.400,Rp29.700,4%,"4,8","2,8 rb",
Buavita Orange [1000 mL],Rp28.400,Rp29.700,4%,"4,8","2,8 rb",
Buavita Mangga [1000 mL],Rp28.400,Rp29.700,4%,"4,9","1,6 rb",
Buavita Mangga [1000 mL],Rp28.400,Rp29.700,4%,"4,9","1,6 rb",
RINSO Molto Pink Rose Fresh Deterjen Bubuk [770 g],Rp30.000,Rp35.000,14%,"4,9",336,
RINSO Molto Pink Rose Fresh Deterjen Bubuk [770 g],Rp30.000,Rp35.000,14%,"4,9",336,
Rinso Molto Deterjen Bubuk Detergen Anti Noda Classic Fresh Proteksi Higienis 1.8 Kg,Rp65.200,Rp74.000,12%,"5,0",72,
Rinso Molto Deterjen Bubuk Detergen Anti Noda Classic Fresh Proteksi Higienis 1.8 Kg,Rp65.200,Rp74.000,12%,"5,0",72,
Lifebuoy Total 10 Sabun Batang 100 g [4 Pcs],Rp19.800,Rp21.075,6%,"5,0",460,
Lifebuoy Total 10 Sabun Batang 100 g [4 Pcs],Rp19.800,Rp21.075,6%,"5,0",460,
Dove Deeply Nourish Body Wash Banded 400 mL[2 Pcs] - D,Rp35.000,,,"5,0",690,
Dove Deeply Nourish Body Wash Banded 400 mL[2 Pcs] - D,Rp35.000,,,"5,0",690,
Buavita Mangga [500 mL],Rp14.600,Rp15.400,5%,"4,8",2 rb,
Buavita Mangga [500 mL],Rp14.600,Rp15.400,5%,"4,8",2 rb,
Zwitsal Eau De Toilette Body Mist [100 mL],Rp31.500,Rp37.534,16%,"4,9","8,1 rb",
Zwitsal Eau De Toilette Body Mist [100 mL],Rp31.500,Rp37.534,16%,"4,9","8,1 rb",
Lux Sabun Cair White Velvet Touch Refill 825 mL Twinpack [2 Pcs],Rp85.400,Rp92.000,7%,"5,0",10,
Lux Sabun Cair White Velvet Touch Refill 825 mL Twinpack [2 Pcs],Rp85.400,Rp92.000,7%,"5,0",10,
Beli 2 Pcs Bango Kecap Manis 67757643 Kemasan Pouch 520 mL Free Bag Cantik,Rp50.500,Rp59.900,16%,"5,0",76,
Beli 2 Pcs Bango Kecap Manis 67757643 Kemasan Pouch 520 mL Free Bag Cantik,Rp50.500,Rp59.900,16%,"5,0",76,
Beli 2 Pcs Bango Kecap Manis 67757643 Kemasan Pouch 520 mL Free Bag Cantik,Rp50.400,Rp59.900,16%,"5,0",196,
Beli 2 Pcs Bango Kecap Manis 67757643 Kemasan Pouch 520 mL Free Bag Cantik,Rp50.400,Rp59.900,16%,"5,0",196,
SARIWANGI 68143151 Teh Asli Celup [1.85 g/ 25 pcs],Rp6.500,,,"5,0",34,
SARIWANGI 68143151 Teh Asli Celup [1.85 g/ 25 pcs],Rp6.500,,,"5,0",34,
